"Table 330.10. Average undergraduate tuition, fees, room, and board rates charged for full-time students in degree-granting postsecondary institutions, by level and control of institution: Selected academic years, 
              1963-64 through 2022-23",,,,,,,,,,,,,,,,,,,,,,,,
Year and control of institution,Current dollars,,,,,,,,,,,,Constant 2022-23 dollars\1\,,,,,,,,,,,
,"Total tuition, fees, room, and board",,,Tuition and required fees\2\,,,Dormitory rooms\3\,,,"Board\3,4\",,,"Total tuition, fees, room, and board",,,Tuition and required fees\2\,,,Dormitory rooms\3\,,,"Board\3,4\",,
,"All insti-
tutions",4-year,2-year,"All insti-
tutions",4-year,2-year,"All insti-
tutions",4-year,2-year,"All insti-
tutions",4-year,2-year,"All insti-
tutions",4-year,2-year,"All insti-
tutions",4-year,2-year,"All insti-
tutions",4-year,2-year,"All insti-
tutions",4-year,2-year
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
All institutions,,,,,,,,,,,,,,,,,,,,,,,,
1963-64 ,"$1,248","$1,286",$775,$508,$553,$171,$282,$279,$209,$457,$455,$395,"$12,126","$12,497","$7,535","$4,939","$5,369","$1,664","$2,743","$2,707","$2,032","$4,444","$4,421","$3,839"
1968-69 ,"1,459","1,545","1,053",596,683,250,360,360,327,502,502,476,"12,256","12,984","8,847","5,011","5,741","2,104","3,027","3,026","2,747","4,218","4,217","3,997"
1969-70 ,"1,560","1,674","1,089",645,755,247,389,392,347,526,528,495,"12,376","13,284","8,642","5,118","5,990","1,963","3,088","3,109","2,752","4,170","4,186","3,927"
1970-71 ,"1,653","1,784","1,120",688,814,249,419,422,369,546,549,501,"12,468","13,461","8,452","5,190","6,139","1,882","3,160","3,183","2,787","4,118","4,139","3,783"
1971-72 ,"1,730","1,878","1,172",724,865,251,445,448,391,562,564,530,"12,603","13,674","8,533","5,271","6,302","1,827","3,240","3,266","2,847","4,091","4,106","3,860"
1972-73 ,"1,834","2,031","1,276",759,950,287,488,492,415,587,588,574,"12,842","14,216","8,932","5,317","6,653","2,008","3,415","3,447","2,904","4,110","4,116","4,020"
1973-74 ,"1,903","2,097","1,358",796,985,328,495,500,430,612,613,600,"12,232","13,480","8,731","5,114","6,328","2,111","3,184","3,213","2,762","3,934","3,939","3,858"
1974-75 ,"1,983","2,187","1,432",809,"1,008",328,528,533,460,646,646,644,"11,475","12,652","8,283","4,683","5,833","1,896","3,055","3,082","2,663","3,736","3,737","3,725"
1975-76 ,"2,103","2,355","1,473",829,"1,073",297,569,576,474,705,706,702,"11,366","12,725","7,962","4,480","5,799","1,606","3,074","3,113","2,561","3,811","3,813","3,795"
1976-77 ,"2,275","2,577","1,598",924,"1,218",346,603,611,503,748,748,750,"11,617","13,158","8,159","4,718","6,221","1,764","3,081","3,119","2,567","3,818","3,818","3,827"
1977-78 ,"2,411","2,725","1,703",984,"1,291",378,645,654,525,781,780,801,"11,535","13,038","8,151","4,710","6,179","1,810","3,087","3,128","2,511","3,737","3,731","3,830"
1978-79 ,"2,587","2,917","1,828","1,073","1,397",411,688,696,575,826,825,842,"11,316","12,763","7,998","4,693","6,111","1,798","3,010","3,043","2,516","3,614","3,609","3,684"
1979-80 ,"2,809","3,167","1,979","1,163","1,513",451,751,759,628,895,895,900,"10,843","12,226","7,641","4,489","5,840","1,741","2,899","2,931","2,424","3,456","3,454","3,476"
1980-81 ,"3,101","3,499","2,230","1,289","1,679",526,836,846,705,976,975,"1,000","10,729","12,106","7,715","4,458","5,807","1,819","2,893","2,926","2,437","3,378","3,373","3,459"
1981-82 ,"3,489","3,951","2,476","1,457","1,907",590,950,961,793,"1,083","1,082","1,094","11,112","12,581","7,884","4,639","6,074","1,878","3,025","3,062","2,524","3,448","3,446","3,482"
1982-83 ,"3,877","4,406","2,713","1,626","2,139",675,"1,064","1,078",873,"1,187","1,189","1,165","11,837","13,453","8,285","4,964","6,532","2,060","3,248","3,291","2,667","3,625","3,630","3,558"
1983-84 ,"4,167","4,747","2,854","1,783","2,344",730,"1,145","1,162",916,"1,239","1,242","1,208","12,270","13,977","8,405","5,249","6,900","2,150","3,372","3,421","2,698","3,649","3,656","3,557"
1984-85 ,"4,563","5,160","3,179","1,985","2,567",821,"1,267","1,282","1,058","1,310","1,311","1,301","12,928","14,622","9,009","5,625","7,275","2,327","3,590","3,633","2,997","3,713","3,714","3,685"
1985-86\5\ ,"4,885","5,504","3,367","2,181","2,784",888,"1,338","1,355","1,107","1,365","1,365","1,372","13,453","15,159","9,273","6,007","7,668","2,447","3,686","3,731","3,049","3,760","3,759","3,777"
1986-87 ,"5,206","5,964","3,295","2,312","3,042",897,"1,405","1,427","1,034","1,489","1,495","1,364","14,025","16,068","8,878","6,229","8,196","2,417","3,785","3,843","2,786","4,012","4,029","3,675"
1987-88 ,"5,494","6,272","3,263","2,458","3,201",809,"1,488","1,516","1,017","1,549","1,555","1,437","14,214","16,227","8,441","6,359","8,281","2,093","3,849","3,923","2,631","4,007","4,024","3,717"
1988-89 ,"5,869","6,725","3,573","2,658","3,472",979,"1,575","1,609","1,085","1,636","1,644","1,509","14,512","16,631","8,835","6,572","8,586","2,422","3,894","3,978","2,682","4,047","4,066","3,731"
1989-90 ,"6,207","7,212","3,705","2,839","3,800",978,"1,638","1,675","1,105","1,730","1,737","1,622","14,650","17,021","8,744","6,701","8,969","2,308","3,866","3,953","2,607","4,083","4,099","3,829"
